"Table 5: Alcohol-specific deaths (new National Statistics definition) by current Local Authority area: registered in Scotland, 1979 to 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Scotland1,Aberdeen City,Aberdeen-shire,Angus,Argyll and Bute,City of Edinburgh,Clackma-nnanshire,Dumfries and Galloway,Dundee City,East Ayrshire,East Dunbart-onshire,East Lothian,East Renfrew-shire,Falkirk,Fife,Glasgow City,Highland,Inverclyde,Mid-lothian,Moray,Na h-Eileanan Siar,North Ayrshire,North Lanark-shire,Orkney Islands,Perth and Kinross,Renfrew-shire,Scottish Borders,Shetland Islands,South Ayrshire,South Lanark-shire,Stirling,West Dunbart-onshire,West Lothian,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 to 2003,"1,216",38,23,19,18,103,9,19,44,26,15,16,15,25,57,283,49,41,14,17,7,30,86,5,21,58,11,2,23,65,15,31,30,1999 to 2003
2000 to 2004,"1,278",39,22,21,18,108,9,22,49,25,16,16,17,27,59,289,53,40,16,18,8,34,87,6,23,62,13,3,25,72,16,34,31,2000 to 2004
2001 to 2005,"1,320",38,23,23,20,112,9,24,53,24,18,17,17,27,59,292,52,40,17,18,9,35,92,6,24,64,14,4,25,79,16,37,34,2001 to 2005
2002 to 2006,"1,358",35,23,23,21,107,10,26,53,25,19,17,18,26,62,301,58,38,17,18,11,38,101,5,25,65,12,4,27,84,16,40,33,2002 to 2006
2003 to 2007,"1,348",36,23,21,23,105,11,25,53,28,19,16,18,26,63,293,60,36,15,19,10,35,105,5,26,61,14,5,26,82,15,39,33,2003 to 2007
2004 to 2008,"1,340",37,24,20,22,104,12,25,53,28,20,15,17,26,67,283,62,36,15,19,9,35,106,5,26,61,13,5,25,83,16,40,31,2004 to 2008
2005 to 2009,"1,310",39,24,19,23,100,12,26,51,30,20,16,16,27,70,264,63,36,12,19,9,36,109,5,25,58,12,5,23,78,17,37,28,2005 to 2009
2006 to 2010,"1,276",39,23,17,25,94,11,27,49,31,19,15,14,29,71,251,65,37,11,19,7,36,109,5,29,49,14,5,25,72,17,36,26,2006 to 2010
2007 to 2011,"1,219",38,22,17,23,89,11,25,49,29,20,14,11,31,74,229,60,34,11,18,7,33,104,5,29,45,16,5,23,71,17,33,27,2007 to 2011
2008 to 2012,"1,156",36,21,18,20,83,10,22,47,26,18,13,11,28,69,212,57,31,11,18,8,32,99,5,31,46,14,5,24,71,17,31,26,2008 to 2012
2009 to 2013,"1,094",36,19,18,18,79,10,22,40,27,16,12,11,28,67,196,56,27,11,18,8,29,96,6,29,42,15,4,21,66,15,27,27,2009 to 2013
2010 to 2014,"1,065",35,18,17,18,77,9,18,38,26,14,13,11,27,61,192,51,26,11,16,9,26,94,5,28,42,17,4,22,67,14,27,30,2010 to 2014
2011 to 2015,"1,037",35,20,18,17,73,11,17,39,23,14,14,11,25,60,184,48,25,12,15,10,26,94,5,26,41,16,3,20,68,15,24,29,2011 to 2015
2012 to 2016,"1,038",37,21,18,17,75,10,19,37,24,11,14,12,25,56,177,50,25,13,17,10,26,97,6,24,41,17,2,19,70,15,24,29,2012 to 2016
2013 to 2017,"1,068",37,23,19,20,82,10,20,36,23,14,15,12,26,64,177,53,25,13,16,10,29,100,5,21,40,16,2,17,70,15,24,32,2013 to 2017
2014 to 2018,"1,095",41,26,20,22,85,9,21,38,21,14,16,11,28,65,171,52,26,15,16,11,31,101,5,24,43,17,3,19,74,15,26,31,2014 to 2018
2015 to 2019,"1,092",38,27,20,21,83,11,23,36,23,15,15,11,27,69,166,55,27,17,17,9,35,101,5,24,41,16,3,19,68,15,25,31,2015 to 2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) The total for Scotland for the years from 1979 to 1990 may include a few deaths for which the current Local Authority area is not known.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
