"Table 3: Alcohol-specific deaths (new National Statistics definition) by age-group and average age at death: registered in Scotland, 1979 to 2019",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Age at death,,,,,,,,,,,,,,,,,,,,,,
,All ages,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,,Average age,
,,,,,,,,,,,,,,,,,,,,,,,
Year,,,,,,,,,,,,,,,,,,,,,,,
1993 to 1997,653,0,0,0,1,3,4,18,37,69,90,100,98,91,73,43,18,6,3,0,,55.3,
1994 to 1998,746,0,0,0,1,3,5,19,41,81,103,120,116,102,79,46,21,6,3,1,,55.1,
1995 to 1999,840,0,0,0,1,3,6,23,48,87,117,141,129,113,84,52,25,6,3,1,,55.0,
1996 to 2000,943,0,0,0,1,3,8,25,55,98,129,160,148,125,93,57,29,7,3,1,,54.9,
1997 to 2001,"1,034",0,0,0,1,3,10,29,61,102,143,176,158,139,106,62,30,8,4,1,,54.9,
1998 to 2002,"1,128",0,0,0,2,2,12,32,63,106,155,194,178,158,114,68,32,9,5,1,,55.1,
1999 to 2003,"1,216",0,0,0,1,2,12,32,67,111,165,203,192,178,123,77,37,11,4,0,,55.4,
2000 to 2004,"1,278",0,0,0,1,1,13,31,70,116,174,207,208,190,134,76,40,13,4,0,,55.6,
2001 to 2005,"1,320",0,0,0,1,1,11,31,72,117,185,210,213,196,142,80,39,16,4,0,,55.7,
2002 to 2006,"1,358",0,0,0,1,2,11,31,75,124,190,214,224,205,141,81,38,15,5,0,,55.6,
2003 to 2007,"1,348",0,0,0,1,2,10,32,77,123,184,214,225,203,140,80,37,15,3,0,,55.5,
2004 to 2008,"1,340",0,0,0,1,3,10,34,79,121,183,213,224,199,146,74,34,16,3,0,,55.4,
2005 to 2009,"1,310",0,0,0,1,3,9,34,75,120,175,212,213,198,141,78,30,15,4,0,,55.4,
2006 to 2010,"1,276",0,0,0,1,3,10,31,73,118,164,210,207,197,141,73,30,14,3,0,,55.5,
2007 to 2011,"1,219",0,0,0,1,3,11,29,68,111,150,200,196,188,137,74,31,16,4,1,,55.8,
2008 to 2012,"1,156",0,0,0,1,3,11,27,63,102,143,180,181,183,137,71,31,17,5,1,,56.1,
2009 to 2013,"1,094",0,0,0,0,3,11,27,55,97,134,171,170,172,127,70,32,15,6,2,,56.2,
2010 to 2014,"1,065",0,0,0,0,2,11,24,53,89,133,163,168,163,128,71,37,17,5,2,,56.6,
2011 to 2015,"1,037",0,0,0,0,1,10,23,48,82,130,154,165,155,129,75,40,17,5,2,,57.0,
2012 to 2016,"1,038",0,0,0,0,1,10,23,40,78,129,156,166,155,134,75,46,20,6,1,,57.4,
2013 to 2017,"1,068",0,0,0,0,1,9,22,38,74,128,161,173,154,145,82,51,22,5,1,,57.8,
2014 to 2018,"1,095",0,0,0,0,1,8,20,39,70,126,157,183,157,154,94,54,24,6,1,,58.4,
2015 to 2019,"1,092",0,0,0,0,1,8,21,36,69,120,153,182,158,157,98,53,25,9,1,,58.7,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
